mapa_1_resultados.xlsx,30,AL2021,010305,AF,PPD/PSD,party,PPD/PSD,,274
mapa_1_resultados.xlsx,30,AL2021,010305,AF,PS,party,PS,,60
mapa_1_resultados.xlsx,30,AL2021,010305,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,656
mapa_1_resultados.xlsx,31,AL2021,010307,AF,PPD/PSD,party,PPD/PSD,,490
mapa_1_resultados.xlsx,31,AL2021,010307,AF,PS,party,PS,,97
mapa_1_resultados.xlsx,31,AL2021,010307,AF,PCP-PEV,coalition,PCP-PEV,,34
mapa_1_resultados.xlsx,31,AL2021,010307,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,340
mapa_1_resultados.xlsx,31,AL2021,010307,AF,[E],citizen_group,MIMO,Movimento Independente pela Moita,190
mapa_1_resultados.xlsx,32,AL2021,010309,AF,IL,party,IL,,69
mapa_1_resultados.xlsx,32,AL2021,010309,AF,PPD/PSD,party,PPD/PSD,,586
mapa_1_resultados.xlsx,32,AL2021,010309,AF,PS,party,PS,,231
mapa_1_resultados.xlsx,32,AL2021,010309,AF,PCP-PEV,coalition,PCP-PEV,,336
mapa_1_resultados.xlsx,32,AL2021,010309,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,397
mapa_1_resultados.xlsx,33,AL2021,010310,AF,PPD/PSD,party,PPD/PSD,,261
mapa_1_resultados.xlsx,33,AL2021,010310,AF,PS,party,PS,,153
mapa_1_resultados.xlsx,33,AL2021,010310,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,574
mapa_1_resultados.xlsx,34,AL2021,010312,AF,PPD/PSD,party,PPD/PSD,,392
mapa_1_resultados.xlsx,34,AL2021,010312,AF,PS,party,PS,,174
mapa_1_resultados.xlsx,34,AL2021,010312,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,258
mapa_1_resultados.xlsx,35,AL2021,010313,AF,PPD/PSD,party,PPD/PSD,,343
mapa_1_resultados.xlsx,35,AL2021,010313,AF,PS,party,PS,,151
mapa_1_resultados.xlsx,35,AL2021,010313,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,848
mapa_1_resultados.xlsx,36,AL2021,010316,AF,PPD/PSD,party,PPD/PSD,,364
mapa_1_resultados.xlsx,36,AL2021,010316,AF,PS,party,PS,,348
mapa_1_resultados.xlsx,36,AL2021,010316,AF,PCP-PEV,coalition,PCP-PEV,,13
mapa_1_resultados.xlsx,36,AL2021,010316,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,638
mapa_1_resultados.xlsx,37,AL2021,010317,AF,PPD/PSD,party,PPD/PSD,,695
mapa_1_resultados.xlsx,37,AL2021,010317,AF,PS,party,PS,,354
mapa_1_resultados.xlsx,37,AL2021,010317,AF,PCP-PEV,coalition,PCP-PEV,,244
mapa_1_resultados.xlsx,37,AL2021,010317,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,1401
mapa_1_resultados.xlsx,38,AL2021,010318,AF,PPD/PSD,party,PPD/PSD,,547
mapa_1_resultados.xlsx,38,AL2021,010318,AF,PS,party,PS,,234
mapa_1_resultados.xlsx,38,AL2021,010318,AF,PCP-PEV,coalition,PCP-PEV,,57
mapa_1_resultados.xlsx,38,AL2021,010318,AF,[D],citizen_group,MIAP,Movimento Independente Anadia Primeiro,636
mapa_1_resultados.xlsx,39,AL2021,010400,CM,CH,party,CH,,197
mapa_1_resultados.xlsx,39,AL2021,010400,CM,E,party,E,,128
mapa_1_resultados.xlsx,39,AL2021,010400,CM,PS,party,PS,,6772
mapa_1_resultados.xlsx,39,AL2021,010400,CM,PCP-PEV,coalition,PCP-PEV,,378
mapa_1_resultados.xlsx,39,AL2021,010400,CM,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,5485
mapa_1_resultados.xlsx,40,AL2021,010400,AM,E,party,E,,212
mapa_1_resultados.xlsx,40,AL2021,010400,AM,PS,party,PS,,6338
mapa_1_resultados.xlsx,40,AL2021,010400,AM,PCP-PEV,coalition,PCP-PEV,,469
mapa_1_resultados.xlsx,40,AL2021,010400,AM,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,6296
mapa_1_resultados.xlsx,41,AL2021,010402,AF,PS,party,PS,,355
mapa_1_resultados.xlsx,41,AL2021,010402,AF,PCP-PEV,coalition,PCP-PEV,,15
mapa_1_resultados.xlsx,41,AL2021,010402,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,265
mapa_1_resultados.xlsx,42,AL2021,010407,AF,PS,party,PS,,348
mapa_1_resultados.xlsx,42,AL2021,010407,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,566
mapa_1_resultados.xlsx,43,AL2021,010409,AF,PS,party,PS,,928
mapa_1_resultados.xlsx,43,AL2021,010409,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,378
mapa_1_resultados.xlsx,44,AL2021,010411,AF,PS,party,PS,,256
mapa_1_resultados.xlsx,44,AL2021,010411,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,539
mapa_1_resultados.xlsx,45,AL2021,010413,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,74
mapa_1_resultados.xlsx,45,AL2021,010413,AF,[D],citizen_group,LIM,Lista Independente de Mansores,656
mapa_1_resultados.xlsx,46,AL2021,010414,AF,PS,party,PS,,336
mapa_1_resultados.xlsx,46,AL2021,010414,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,155
mapa_1_resultados.xlsx,46,AL2021,010414,AF,[D],citizen_group,M,Mudança,296
mapa_1_resultados.xlsx,47,AL2021,010415,AF,PCP-PEV,coalition,PCP-PEV,,52
mapa_1_resultados.xlsx,47,AL2021,010415,AF,[A],coalition,PPD/PSD.CDS-PP.PPM.IL,AGORA OS AROUQUENSES,599
mapa_1_resultados.xlsx,47,AL2021,010415,AF,[D],citizen_group,UNIR,União Independente por Rossas,319
mapa_1_resultados.xlsx,48,AL2021,010416,AF,PS,party,PS,,565
mapa_1_resultados.xlsx,48,AL2021,010416,AF,PCP-PEV,coalition,PCP-PEV,,36
