mapa_1_resultados.xlsx,68,AL2021,010517,AVEIRO,UNIÃO DAS FREGUESIAS DE GLÓRIA E VERA CRUZ,AF,17822,8695,385,138
mapa_1_resultados.xlsx,69,AL2021,010600,CASTELO DE PAIVA,,CM,14041,10926,99,192
mapa_1_resultados.xlsx,70,AL2021,010600,CASTELO DE PAIVA,,AM,14042,10926,127,196
mapa_1_resultados.xlsx,71,AL2021,010602,CASTELO DE PAIVA,FORNOS,AF,1165,932,11,24
mapa_1_resultados.xlsx,72,AL2021,010606,CASTELO DE PAIVA,REAL,AF,1080,875,6,17
mapa_1_resultados.xlsx,73,AL2021,010607,CASTELO DE PAIVA,SANTA MARIA DE SARDOURA,AF,2071,1637,13,21
mapa_1_resultados.xlsx,74,AL2021,010608,CASTELO DE PAIVA,SÃO MARTINHO DE SARDOURA,AF,1652,1365,3,16
mapa_1_resultados.xlsx,75,AL2021,010610,CASTELO DE PAIVA,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",AF,3902,2829,35,65
mapa_1_resultados.xlsx,76,AL2021,010611,CASTELO DE PAIVA,UNIÃO DAS FREGUESIAS DE SOBRADO E BAIRROS,AF,4171,3288,29,79
mapa_1_resultados.xlsx,77,AL2021,010700,ESPINHO,,CM,29730,16450,541,313
mapa_1_resultados.xlsx,78,AL2021,010700,ESPINHO,,AM,29730,16446,560,312
mapa_1_resultados.xlsx,79,AL2021,010702,ESPINHO,ESPINHO,AF,10114,5437,197,92
mapa_1_resultados.xlsx,80,AL2021,010704,ESPINHO,PARAMOS,AF,3074,1758,43,40
mapa_1_resultados.xlsx,81,AL2021,010705,ESPINHO,SILVALDE,AF,5757,3284,89,59
mapa_1_resultados.xlsx,82,AL2021,010706,ESPINHO,UNIÃO DAS FREGUESIAS DE ANTA E GUETIM,AF,10785,5974,194,131
mapa_1_resultados.xlsx,83,AL2021,010800,ESTARREJA,,CM,23945,11500,317,266
mapa_1_resultados.xlsx,84,AL2021,010800,ESTARREJA,,AM,23945,11497,401,274
mapa_1_resultados.xlsx,85,AL2021,010801,ESTARREJA,AVANCA,AF,5251,2582,82,75
mapa_1_resultados.xlsx,86,AL2021,010805,ESTARREJA,PARDILHÓ,AF,3731,1691,54,36
mapa_1_resultados.xlsx,87,AL2021,010806,ESTARREJA,SALREU,AF,3377,1756,40,35
mapa_1_resultados.xlsx,88,AL2021,010808,ESTARREJA,UNIÃO DAS FREGUESIAS DE BEDUÍDO E VEIROS,AF,9104,4094,102,114
mapa_1_resultados.xlsx,89,AL2021,010809,ESTARREJA,UNIÃO DAS FREGUESIAS DE CANELAS E FERMELÃ,AF,2482,1374,63,29
mapa_1_resultados.xlsx,90,AL2021,010900,FEIRA,,CM,125645,69890,2111,1168
mapa_1_resultados.xlsx,91,AL2021,010900,FEIRA,,AM,125645,69946,2355,1233
mapa_1_resultados.xlsx,92,AL2021,010901,FEIRA,ARGONCILHE,AF,7448,4554,69,71
mapa_1_resultados.xlsx,93,AL2021,010902,FEIRA,ARRIFANA,AF,5712,2651,103,65
mapa_1_resultados.xlsx,94,AL2021,010904,FEIRA,ESCAPÃES,AF,3018,1827,56,34
mapa_1_resultados.xlsx,95,AL2021,010907,FEIRA,FIÃES,AF,6869,3677,133,88
mapa_1_resultados.xlsx,96,AL2021,010908,FEIRA,FORNOS,AF,2993,1764,66,19
mapa_1_resultados.xlsx,97,AL2021,010913,FEIRA,LOUROSA,AF,7685,4349,103,83
mapa_1_resultados.xlsx,98,AL2021,010914,FEIRA,MILHEIRÓS DE POIARES,AF,3257,1998,62,28
mapa_1_resultados.xlsx,99,AL2021,010916,FEIRA,MOZELOS,AF,6482,3759,114,55
mapa_1_resultados.xlsx,100,AL2021,010917,FEIRA,NOGUEIRA DA REGEDOURA,AF,5181,3081,84,42
mapa_1_resultados.xlsx,101,AL2021,010918,FEIRA,SÃO PAIO DE OLEIROS,AF,3420,2003,65,41
mapa_1_resultados.xlsx,102,AL2021,010919,FEIRA,PAÇOS DE BRANDÃO,AF,4341,2666,77,47
mapa_1_resultados.xlsx,103,AL2021,010921,FEIRA,RIO MEÃO,AF,4423,2602,78,40
mapa_1_resultados.xlsx,104,AL2021,010922,FEIRA,ROMARIZ,AF,2854,1547,53,28
mapa_1_resultados.xlsx,105,AL2021,010924,FEIRA,SANGUEDO,AF,3109,1986,58,29
mapa_1_resultados.xlsx,106,AL2021,010925,FEIRA,SANTA MARIA DE LAMAS,AF,4475,2744,57,51
mapa_1_resultados.xlsx,107,AL2021,010926,FEIRA,SÃO JOÃO DE VER,AF,9513,5365,147,87
mapa_1_resultados.xlsx,108,AL2021,010932,FEIRA,UNIÃO DAS FREGUESIAS DE CALDAS DE SÃO JORGE E PIGEIROS,AF,3494,2177,58,34
mapa_1_resultados.xlsx,109,AL2021,010933,FEIRA,"UNIÃO DAS FREGUESIAS DE CANEDO, VALE E VILA MAIOR",AF,8690,3972,209,153
mapa_1_resultados.xlsx,110,AL2021,010934,FEIRA,"UNIÃO DAS FREGUESIAS DE LOBÃO, GIÃO, LOUREDO E GUISANDE",AF,9424,5144,169,105
mapa_1_resultados.xlsx,111,AL2021,010935,FEIRA,"UNIÃO DAS FREGUESIAS DE SANTA MARIA DA FEIRA, TRAVANCA, SANFINS E ESPARGO",AF,17227,9517,304,148
mapa_1_resultados.xlsx,112,AL2021,010936,FEIRA,UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO SOUTO E MOSTEIRÔ,AF,6030,3215,105,65
mapa_1_resultados.xlsx,113,AL2021,011000,ÍLHAVO,,CM,35973,16349,485,207
mapa_1_resultados.xlsx,114,AL2021,011000,ÍLHAVO,,AM,35973,16346,571,221
mapa_1_resultados.xlsx,115,AL2021,011005,ÍLHAVO,GAFANHA DA ENCARNAÇÃO,AF,5083,2297,67,28
mapa_1_resultados.xlsx,116,AL2021,011006,ÍLHAVO,GAFANHA DA NAZARÉ,AF,13969,5893,223,91
mapa_1_resultados.xlsx,117,AL2021,011007,ÍLHAVO,GAFANHA DO CARMO,AF,1670,930,23,9
mapa_1_resultados.xlsx,118,AL2021,011008,ÍLHAVO,ÍLHAVO (SÃO SALVADOR),AF,15251,7228,243,90
mapa_1_resultados.xlsx,119,AL2021,011100,MEALHADA,,CM,17933,9558,296,133
mapa_1_resultados.xlsx,120,AL2021,011100,MEALHADA,,AM,17933,9558,300,145
mapa_1_resultados.xlsx,121,AL2021,011102,MEALHADA,BARCOUÇO,AF,1899,990,21,12
mapa_1_resultados.xlsx,122,AL2021,011103,MEALHADA,CASAL COMBA,AF,2934,1538,45,15
mapa_1_resultados.xlsx,123,AL2021,011104,MEALHADA,LUSO,AF,2241,1326,24,13
mapa_1_resultados.xlsx,124,AL2021,011106,MEALHADA,PAMPILHOSA,AF,3473,1738,55,34
mapa_1_resultados.xlsx,125,AL2021,011107,MEALHADA,VACARIÇA,AF,1630,930,21,14
mapa_1_resultados.xlsx,126,AL2021,011109,MEALHADA,"UNIÃO DAS FREGUESIAS DA MEALHADA, VENTOSA DO BAIRRO E ANTES",AF,5756,3036,112,46
mapa_1_resultados.xlsx,127,AL2021,011200,MURTOSA,,CM,9916,4689,88,88
mapa_1_resultados.xlsx,128,AL2021,011200,MURTOSA,,AM,9916,4688,107,81
mapa_1_resultados.xlsx,129,AL2021,011201,MURTOSA,BUNHEIRO,AF,2431,1194,32,15
mapa_1_resultados.xlsx,130,AL2021,011202,MURTOSA,MONTE,AF,1535,745,7,13
mapa_1_resultados.xlsx,131,AL2021,011203,MURTOSA,MURTOSA,AF,3210,1325,34,22
mapa_1_resultados.xlsx,132,AL2021,011204,MURTOSA,TORREIRA,AF,2740,1423,28,42
mapa_1_resultados.xlsx,133,AL2021,011300,OLIVEIRA DE AZEMÉIS,,CM,60365,32314,866,535
mapa_1_resultados.xlsx,134,AL2021,011300,OLIVEIRA DE AZEMÉIS,,AM,60365,32314,972,586
mapa_1_resultados.xlsx,135,AL2021,011301,OLIVEIRA DE AZEMÉIS,CARREGOSA,AF,3104,1962,53,49
